題型,分類,秒數,題目,選項一,選項二,選項三,選項四,正確答案
是非題,自然1-1～1-2,60,白天因為有陽光照射，所以氣溫會比夜晚高。,O,X,,,1
是非題,自然1-1～1-2,60,植物的生長需要吸取陽光來製造養分。,O,X,,,1
是非題,自然1-1～1-2,60,太陽照射可以使溫度升高。,O,X,,,1
是非題,自然1-1～1-2,60,利用太陽的熱將海水蒸發，可以製造食用的鹽。,O,X,,,1
是非題,自然1-1～1-2,60,沒有太陽，人類也能生存。,O,X,,,2
是非題,自然1-1～1-2,60,利用太陽能發電，對環境造成的汙染會比較少。,O,X,,,1
是非題,自然1-1～1-2,60,烏龜晒太陽，是要利用太陽的熱來調節體溫。,O,X,,,1
是非題,自然1-1～1-2,60,因為有太陽光的照射，所以白晝時眼睛能見度會比夜晚更清楚。,O,X,,,1
是非題,自然1-1～1-2,60,太陽提供了生物生長所需的能量，因此如果沒有太陽，多數生物就無法存活。,O,X,,,1
是非題,自然1-1～1-2,60,夜晚的月光，是來自於月球自身的光芒，與太陽無關。,O,X,,,2
是非題,自然1-1～1-2,60,地球上生物生存的主要能量來自於太陽的熱和光。,O,X,,,1
是非題,自然1-1～1-2,60,太陽是提供地球光和熱的主要來源。,O,X,,,1
是非題,自然1-1～1-2,60,由於發電效率受到技術限制，設置太陽能光電板時通常需要較大的空間，因此太陽能光電板大多會設置在屋頂或郊外空曠空間。,O,X,,,1
是非題,自然1-1～1-2,60,炎熱的氣候不利於生物生存，而太陽照射會使地球溫度升高，因此太陽對於生物生存沒有任何幫助。,O,X,,,2
是非題,自然1-1～1-2,60,利用太陽的熱將柿子裡的水分晒乾，是為了要讓果實成熟。,O,X,,,2
是非題,自然1-1～1-2,60,地球上大多數的生物都可以直接感受到太陽的光和熱。,O,X,,,1
是非題,自然1-1～1-2,60,即使沒有太陽，大多數的生物仍舊可以在地球上生存。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能集熱器是利用太陽的光能將水加熱。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能對環境造成的汙染不會比化石燃料少。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能熱水器是利用太陽集熱板收集太陽的熱能，然後將水加熱。,O,X,,,1
是非題,自然1-1～1-2,60,利用太陽來製造蝦乾和晒乾衣服的原理是一樣的。,O,X,,,1
是非題,自然1-1～1-2,60,白天有陽光照射，看見的景色會比夜晚沒陽光照射時清楚。,O,X,,,1
是非題,自然1-1～1-2,60,白天因為有陽光照射，所以可以看清楚景物，但氣溫通常會比較低。,O,X,,,2
是非題,自然1-1～1-2,60,我們晒太陽的好處之一，是可以合成人體所需的維生素 A。,O,X,,,2
是非題,自然1-1～1-2,60,白天因為有陽光照射，所以氣溫通常比夜晚低。,O,X,,,2
是非題,自然1-1～1-2,60,太陽的熱可以將拖把上的水分蒸發，晒乾拖把。,O,X,,,1
是非題,自然1-1～1-2,60,煤、石油、天然氣等化石燃料會造成環境嚴重的汙染。,O,X,,,1
是非題,自然1-1～1-2,60,太陽能屬於再生能源，對地球的環境汙染較小。,O,X,,,1
是非題,自然1-1～1-2,60,在建築物屋頂架設大量太陽能光電板是要利用太陽的光能來發電。,O,X,,,1
是非題,自然1-1～1-2,60,太陽的熱可以將海水蒸發，製造我們生活上所需要的鹽。,O,X,,,1
是非題,自然1-1～1-2,60,有陽光時看東西較清楚，且氣溫通常也會比較高。,O,X,,,1
是非題,自然1-1～1-2,60,夜晚沒有陽光照射，可能需要開燈，才能看清楚物品。,O,X,,,1
是非題,自然1-1～1-2,60,太陽能是不可永續的綠能資源，因此不可過度使用。,O,X,,,2
是非題,自然1-1～1-2,60,適當的照射太陽光，可產生身體需要的維生素 C。,O,X,,,2
是非題,自然1-1～1-2,60,太陽的存在與地球上的生物息息相關，不僅改變人類的生活，也提供動植物生長所需的能量。,O,X,,,1
是非題,自然1-1～1-2,60,在建築物上大量架設太陽能光電板，除了發電，還有隔熱遮陽的優點。,O,X,,,1
是非題,自然1-1～1-2,60,白天的氣溫通常比夜晚高，是因為白天有陽光直接照射。,O,X,,,1
是非題,自然1-1～1-2,60,植物需要陽光才能製造養分，維持生長所需的能量。,O,X,,,1
是非題,自然1-1～1-2,60,太陽能和煤、石油、天然氣等化石燃料相同，無法永續發展。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能光電板可以將太陽的光轉換成電能使用，例如：太陽能路燈提供照明。,O,X,,,1
是非題,自然1-1～1-2,60,人體必需的維生素 D 只能透過服用營養補充品來獲得。,O,X,,,2
是非題,自然1-1～1-2,60,陽光照射能夠促進大部分植物生長，是不可或缺的重要條件。,O,X,,,1
是非題,自然1-1～1-2,60,動物不需要行光合作用，所以沒有陽光動物也可以生存。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能光電板設置在屋頂上，可以用來遮陽和發電。,O,X,,,1
